,pos1,pos2,dis,path,relative_dir
2715,"(5, 10)","(17, 7)",15,"[[(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (17, 8), (17, 7)]]","['right', 'up']"
2716,"(5, 10)","(17, 8)",14,"[[(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (17, 8)]]","['right', 'up']"
2717,"(5, 10)","(17, 10)",16,"[[(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (16, 9), (16, 10), (17, 10)]]",['right']
2718,"(5, 10)","(18, 2)",21,"[[(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (7, 7), (7, 6), (7, 5), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (15, 4), (16, 4), (16, 3), (16, 2), (17, 2), (18, 2)], [(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (14, 7), (14, 6), (14, 5), (14, 4), (15, 4), (16, 4), (16, 3), (16, 2), (17, 2), (18, 2)]]","['right', 'up']"
2719,"(5, 10)","(18, 6)",17,"[[(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (14, 7), (14, 6), (15, 6), (16, 6), (17, 6), (18, 6)], [(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (17, 8), (17, 7), (17, 6), (18, 6)]]","['right', 'up']"
2720,"(5, 10)","(18, 10)",17,"[[(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (16, 9), (16, 10), (17, 10), (18, 10)]]",['right']
2721,"(5, 10)","(19, 2)",22,"[[(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (7, 7), (7, 6), (7, 5), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (15, 4), (16, 4), (16, 3), (16, 2), (17, 2), (18, 2), (19, 2)], [(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (14, 7), (14, 6), (14, 5), (14, 4), (15, 4), (16, 4), (16, 3), (16, 2), (17, 2), (18, 2), (19, 2)], [(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (14, 7), (14, 6), (15, 6), (16, 6), (17, 6), (18, 6), (19, 6), (19, 5), (19, 4), (19, 3), (19, 2)], [(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (17, 8), (17, 7), (17, 6), (18, 6), (19, 6), (19, 5), (19, 4), (19, 3), (19, 2)]]","['right', 'up']"
2722,"(5, 10)","(19, 3)",21,"[[(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (14, 7), (14, 6), (15, 6), (16, 6), (17, 6), (18, 6), (19, 6), (19, 5), (19, 4), (19, 3)], [(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (17, 8), (17, 7), (17, 6), (18, 6), (19, 6), (19, 5), (19, 4), (19, 3)]]","['right', 'up']"
2723,"(5, 10)","(19, 4)",20,"[[(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (14, 7), (14, 6), (15, 6), (16, 6), (17, 6), (18, 6), (19, 6), (19, 5), (19, 4)], [(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (17, 8), (17, 7), (17, 6), (18, 6), (19, 6), (19, 5), (19, 4)]]","['right', 'up']"
2724,"(5, 10)","(19, 5)",19,"[[(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (14, 7), (14, 6), (15, 6), (16, 6), (17, 6), (18, 6), (19, 6), (19, 5)], [(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (17, 8), (17, 7), (17, 6), (18, 6), (19, 6), (19, 5)]]","['right', 'up']"
2725,"(5, 10)","(19, 6)",18,"[[(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (14, 7), (14, 6), (15, 6), (16, 6), (17, 6), (18, 6), (19, 6)], [(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (17, 8), (17, 7), (17, 6), (18, 6), (19, 6)]]","['right', 'up']"
2726,"(5, 10)","(19, 7)",19,"[[(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (14, 7), (14, 6), (15, 6), (16, 6), (17, 6), (18, 6), (19, 6), (19, 7)], [(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (17, 8), (17, 7), (17, 6), (18, 6), (19, 6), (19, 7)]]","['right', 'up']"
2727,"(5, 10)","(19, 8)",20,"[[(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (14, 7), (14, 6), (15, 6), (16, 6), (17, 6), (18, 6), (19, 6), (19, 7), (19, 8)], [(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (17, 8), (17, 7), (17, 6), (18, 6), (19, 6), (19, 7), (19, 8)], [(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (16, 9), (16, 10), (17, 10), (18, 10), (19, 10), (19, 9), (19, 8)]]","['right', 'up']"
2728,"(5, 10)","(19, 9)",19,"[[(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (16, 9), (16, 10), (17, 10), (18, 10), (19, 10), (19, 9)]]","['right', 'up']"
2729,"(5, 10)","(19, 10)",18,"[[(5, 10), (5, 9), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (16, 9), (16, 10), (17, 10), (18, 10), (19, 10)]]",['right']
2730,"(6, 4)","(2, 2)",6,"[[(6, 4), (5, 4), (5, 3), (5, 2), (4, 2), (3, 2), (2, 2)]]","['left', 'up']"
2731,"(6, 4)","(2, 3)",7,"[[(6, 4), (5, 4), (5, 3), (5, 2), (4, 2), (3, 2), (2, 2), (2, 3)]]","['left', 'up']"
2732,"(6, 4)","(2, 4)",8,"[[(6, 4), (5, 4), (4, 4), (4, 5), (4, 6), (3, 6), (2, 6), (2, 5), (2, 4)], [(6, 4), (5, 4), (5, 3), (5, 2), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4)]]",['left']
2733,"(6, 4)","(2, 5)",7,"[[(6, 4), (5, 4), (4, 4), (4, 5), (4, 6), (3, 6), (2, 6), (2, 5)]]","['left', 'down']"
2734,"(6, 4)","(2, 6)",6,"[[(6, 4), (5, 4), (4, 4), (4, 5), (4, 6), (3, 6), (2, 6)]]","['left', 'down']"
2735,"(6, 4)","(2, 7)",7,"[[(6, 4), (5, 4), (4, 4), (4, 5), (4, 6), (3, 6), (2, 6), (2, 7)]]","['left', 'down']"
2736,"(6, 4)","(2, 8)",8,"[[(6, 4), (5, 4), (4, 4), (4, 5), (4, 6), (3, 6), (2, 6), (2, 7), (2, 8)]]","['left', 'down']"
2737,"(6, 4)","(2, 9)",9,"[[(6, 4), (5, 4), (4, 4), (4, 5), (4, 6), (3, 6), (2, 6), (2, 7), (2, 8), (2, 9)]]","['left', 'down']"
2738,"(6, 4)","(2, 10)",10,"[[(6, 4), (5, 4), (4, 4), (4, 5), (4, 6), (3, 6), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10)]]","['left', 'down']"
2739,"(6, 4)","(3, 2)",5,"[[(6, 4), (5, 4), (5, 3), (5, 2), (4, 2), (3, 2)]]","['left', 'up']"
2740,"(6, 4)","(3, 6)",5,"[[(6, 4), (5, 4), (4, 4), (4, 5), (4, 6), (3, 6)]]","['left', 'down']"
2741,"(6, 4)","(3, 10)",11,"[[(6, 4), (5, 4), (4, 4), (4, 5), (4, 6), (3, 6), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (3, 10)], [(6, 4), (5, 4), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (5, 8), (5, 9), (5, 10), (4, 10), (3, 10)], [(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (6, 8), (5, 8), (5, 9), (5, 10), (4, 10), (3, 10)]]","['left', 'down']"
2742,"(6, 4)","(4, 2)",4,"[[(6, 4), (5, 4), (5, 3), (5, 2), (4, 2)]]","['left', 'up']"
2743,"(6, 4)","(4, 4)",2,"[[(6, 4), (5, 4), (4, 4)]]",['left']
2744,"(6, 4)","(4, 5)",3,"[[(6, 4), (5, 4), (4, 4), (4, 5)]]","['left', 'down']"
2745,"(6, 4)","(4, 6)",4,"[[(6, 4), (5, 4), (4, 4), (4, 5), (4, 6)]]","['left', 'down']"
2746,"(6, 4)","(4, 7)",5,"[[(6, 4), (5, 4), (4, 4), (4, 5), (4, 6), (4, 7)]]","['left', 'down']"
2747,"(6, 4)","(4, 8)",6,"[[(6, 4), (5, 4), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8)]]","['left', 'down']"
2748,"(6, 4)","(4, 10)",10,"[[(6, 4), (5, 4), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (5, 8), (5, 9), (5, 10), (4, 10)], [(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (6, 8), (5, 8), (5, 9), (5, 10), (4, 10)]]","['left', 'down']"
2749,"(6, 4)","(5, 2)",3,"[[(6, 4), (5, 4), (5, 3), (5, 2)]]","['left', 'up']"
2750,"(6, 4)","(5, 3)",2,"[[(6, 4), (5, 4), (5, 3)]]","['left', 'up']"
2751,"(6, 4)","(5, 4)",1,"[[(6, 4), (5, 4)]]",['left']
2752,"(6, 4)","(5, 6)",5,"[[(6, 4), (5, 4), (4, 4), (4, 5), (4, 6), (5, 6)], [(6, 4), (7, 4), (7, 5), (7, 6), (6, 6), (5, 6)]]","['left', 'down']"
2753,"(6, 4)","(5, 8)",7,"[[(6, 4), (5, 4), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (5, 8)], [(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (6, 8), (5, 8)]]","['left', 'down']"
2754,"(6, 4)","(5, 9)",8,"[[(6, 4), (5, 4), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (5, 8), (5, 9)], [(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (6, 8), (5, 8), (5, 9)]]","['left', 'down']"
2755,"(6, 4)","(5, 10)",9,"[[(6, 4), (5, 4), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (5, 8), (5, 9), (5, 10)], [(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (6, 8), (5, 8), (5, 9), (5, 10)]]","['left', 'down']"
2756,"(6, 4)","(6, 6)",4,"[[(6, 4), (7, 4), (7, 5), (7, 6), (6, 6)]]",
2757,"(6, 4)","(6, 8)",6,"[[(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (6, 8)]]",
2758,"(6, 4)","(7, 2)",3,"[[(6, 4), (7, 4), (7, 3), (7, 2)]]","['right', 'up']"
2759,"(6, 4)","(7, 3)",2,"[[(6, 4), (7, 4), (7, 3)]]","['right', 'up']"
2760,"(6, 4)","(7, 4)",1,"[[(6, 4), (7, 4)]]",['right']
2761,"(6, 4)","(7, 5)",2,"[[(6, 4), (7, 4), (7, 5)]]","['right', 'down']"
2762,"(6, 4)","(7, 6)",3,"[[(6, 4), (7, 4), (7, 5), (7, 6)]]","['right', 'down']"
2763,"(6, 4)","(7, 7)",4,"[[(6, 4), (7, 4), (7, 5), (7, 6), (7, 7)]]","['right', 'down']"
2764,"(6, 4)","(7, 8)",5,"[[(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8)]]","['right', 'down']"
2765,"(6, 4)","(7, 9)",6,"[[(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9)]]","['right', 'down']"
2766,"(6, 4)","(7, 10)",7,"[[(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10)]]","['right', 'down']"
2767,"(6, 4)","(8, 2)",4,"[[(6, 4), (7, 4), (7, 3), (7, 2), (8, 2)]]","['right', 'up']"
2768,"(6, 4)","(8, 4)",2,"[[(6, 4), (7, 4), (8, 4)]]",['right']
2769,"(6, 4)","(8, 8)",6,"[[(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (8, 8)]]","['right', 'down']"
2770,"(6, 4)","(8, 10)",8,"[[(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (8, 10)]]","['right', 'down']"
2771,"(6, 4)","(9, 2)",5,"[[(6, 4), (7, 4), (7, 3), (7, 2), (8, 2), (9, 2)]]","['right', 'up']"
2772,"(6, 4)","(9, 4)",3,"[[(6, 4), (7, 4), (8, 4), (9, 4)]]",['right']
2773,"(6, 4)","(9, 6)",7,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (10, 5), (10, 6), (9, 6)]]","['right', 'down']"
2774,"(6, 4)","(9, 8)",7,"[[(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (8, 8), (9, 8)]]","['right', 'down']"
2775,"(6, 4)","(9, 10)",9,"[[(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (8, 10), (9, 10)]]","['right', 'down']"
2776,"(6, 4)","(10, 2)",6,"[[(6, 4), (7, 4), (7, 3), (7, 2), (8, 2), (9, 2), (10, 2)]]","['right', 'up']"
2777,"(6, 4)","(10, 4)",4,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4)]]",['right']
2778,"(6, 4)","(10, 5)",5,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (10, 5)]]","['right', 'down']"
2779,"(6, 4)","(10, 6)",6,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (10, 5), (10, 6)]]","['right', 'down']"
2780,"(6, 4)","(10, 8)",8,"[[(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (8, 8), (9, 8), (10, 8)]]","['right', 'down']"
2781,"(6, 4)","(10, 10)",10,"[[(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (8, 10), (9, 10), (10, 10)]]","['right', 'down']"
2782,"(6, 4)","(11, 2)",7,"[[(6, 4), (7, 4), (7, 3), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2)]]","['right', 'up']"
2783,"(6, 4)","(11, 4)",5,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4)]]",['right']
2784,"(6, 4)","(11, 5)",6,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (11, 5)], [(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (10, 5), (11, 5)]]","['right', 'down']"
2785,"(6, 4)","(11, 6)",7,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (11, 5), (11, 6)], [(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (10, 5), (11, 5), (11, 6)], [(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (10, 5), (10, 6), (11, 6)]]","['right', 'down']"
2786,"(6, 4)","(11, 8)",9,"[[(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8)]]","['right', 'down']"
2787,"(6, 4)","(11, 10)",11,"[[(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (8, 10), (9, 10), (10, 10), (11, 10)]]","['right', 'down']"
2788,"(6, 4)","(12, 2)",8,"[[(6, 4), (7, 4), (7, 3), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (12, 2)]]","['right', 'up']"
2789,"(6, 4)","(12, 4)",6,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4)]]",['right']
2790,"(6, 4)","(12, 6)",8,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (11, 5), (11, 6), (12, 6)], [(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (10, 5), (11, 5), (11, 6), (12, 6)], [(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (10, 5), (10, 6), (11, 6), (12, 6)]]","['right', 'down']"
2791,"(6, 4)","(12, 8)",10,"[[(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8)]]","['right', 'down']"
2792,"(6, 4)","(12, 10)",12,"[[(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (8, 10), (9, 10), (10, 10), (11, 10), (12, 10)]]","['right', 'down']"
2793,"(6, 4)","(13, 2)",9,"[[(6, 4), (7, 4), (7, 3), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2)]]","['right', 'up']"
2794,"(6, 4)","(13, 4)",7,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4)]]",['right']
2795,"(6, 4)","(13, 8)",11,"[[(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8)]]","['right', 'down']"
2796,"(6, 4)","(13, 10)",13,"[[(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (8, 10), (9, 10), (10, 10), (11, 10), (12, 10), (13, 10)]]","['right', 'down']"
2797,"(6, 4)","(14, 2)",10,"[[(6, 4), (7, 4), (7, 3), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2)], [(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (14, 3), (14, 2)]]","['right', 'up']"
2798,"(6, 4)","(14, 3)",9,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (14, 3)]]","['right', 'up']"
2799,"(6, 4)","(14, 4)",8,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4)]]",['right']
2800,"(6, 4)","(14, 5)",9,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (14, 5)]]","['right', 'down']"
2801,"(6, 4)","(14, 6)",10,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (14, 5), (14, 6)]]","['right', 'down']"
2802,"(6, 4)","(14, 7)",11,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (14, 5), (14, 6), (14, 7)]]","['right', 'down']"
2803,"(6, 4)","(14, 8)",12,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (14, 5), (14, 6), (14, 7), (14, 8)], [(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8)]]","['right', 'down']"
2804,"(6, 4)","(14, 9)",13,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (14, 5), (14, 6), (14, 7), (14, 8), (14, 9)], [(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (14, 9)]]","['right', 'down']"
2805,"(6, 4)","(14, 10)",14,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (14, 5), (14, 6), (14, 7), (14, 8), (14, 9), (14, 10)], [(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (14, 9), (14, 10)], [(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (8, 10), (9, 10), (10, 10), (11, 10), (12, 10), (13, 10), (14, 10)]]","['right', 'down']"
2806,"(6, 4)","(15, 4)",9,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (15, 4)]]",['right']
2807,"(6, 4)","(15, 6)",11,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (14, 5), (14, 6), (15, 6)]]","['right', 'down']"
2808,"(6, 4)","(15, 8)",13,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (14, 5), (14, 6), (14, 7), (14, 8), (15, 8)], [(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8)]]","['right', 'down']"
2809,"(6, 4)","(16, 2)",12,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (15, 4), (16, 4), (16, 3), (16, 2)]]","['right', 'up']"
2810,"(6, 4)","(16, 3)",11,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (15, 4), (16, 4), (16, 3)]]","['right', 'up']"
2811,"(6, 4)","(16, 4)",10,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (15, 4), (16, 4)]]",['right']
2812,"(6, 4)","(16, 6)",12,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (14, 5), (14, 6), (15, 6), (16, 6)]]","['right', 'down']"
2813,"(6, 4)","(16, 8)",14,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (14, 5), (14, 6), (14, 7), (14, 8), (15, 8), (16, 8)], [(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8)]]","['right', 'down']"
2814,"(6, 4)","(16, 9)",15,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (14, 5), (14, 6), (14, 7), (14, 8), (15, 8), (16, 8), (16, 9)], [(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (16, 9)]]","['right', 'down']"
2815,"(6, 4)","(16, 10)",16,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (14, 5), (14, 6), (14, 7), (14, 8), (15, 8), (16, 8), (16, 9), (16, 10)], [(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (16, 9), (16, 10)]]","['right', 'down']"
2816,"(6, 4)","(17, 2)",13,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (15, 4), (16, 4), (16, 3), (16, 2), (17, 2)]]","['right', 'up']"
2817,"(6, 4)","(17, 4)",11,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (15, 4), (16, 4), (17, 4)]]",['right']
2818,"(6, 4)","(17, 5)",12,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (15, 4), (16, 4), (17, 4), (17, 5)]]","['right', 'down']"
2819,"(6, 4)","(17, 6)",13,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (15, 4), (16, 4), (17, 4), (17, 5), (17, 6)], [(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (14, 5), (14, 6), (15, 6), (16, 6), (17, 6)]]","['right', 'down']"
2820,"(6, 4)","(17, 7)",14,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (15, 4), (16, 4), (17, 4), (17, 5), (17, 6), (17, 7)], [(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (14, 5), (14, 6), (15, 6), (16, 6), (17, 6), (17, 7)]]","['right', 'down']"
2821,"(6, 4)","(17, 8)",15,"[[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (15, 4), (16, 4), (17, 4), (17, 5), (17, 6), (17, 7), (17, 8)], [(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (14, 5), (14, 6), (15, 6), (16, 6), (17, 6), (17, 7), (17, 8)], [(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (14, 5), (14, 6), (14, 7), (14, 8), (15, 8), (16, 8), (17, 8)], [(6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (17, 8)]]","['right', 'down']"
